possibly_sensitive,id,author_id,lang,reply_settings,edit_history_tweet_ids,text,source,created_at,hashtags_list,urls_list,public_metrics_retweet_count,public_metrics_reply_count,public_metrics_like_count,public_metrics_quote_count,pagination_token,current_time
True,1437133899478421505,1356972371945484293,vi,everyone,['1437133899478421505'],"Đi chơi vùng cao có một bản làng khi sinh là nữ là cha mẹ bôi một loại thuốc gia truyền là ko bao giờ mọc lông mu, cô giáo tâm sự làm như vậy là để giữ gái bản, đấy cũng là bản sắc riêng, thế là mình cũng cạo nhẵn thín cho có đôi. https://t.co/fq5cxAfr81",Twitter for Android,2021-09-12T19:19:56.000Z,[],['https://twitter.com/DngBch11/status/1437133899478421505/video/1'],344,10,848,3,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084160
False,1437274256505651204,986307001125867520,es,everyone,['1437274256505651204'],"No es mía.pero está bello.
Rico maduro. https://t.co/kLKPfdi6AT",Twitter for Android,2021-09-13T04:37:40.000Z,[],['https://twitter.com/Sr_DonMaduro/status/1437274256505651204/photo/1'],59,6,527,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084180
False,1437031971062890498,932865869755047942,und,everyone,['1437031971062890498'],@XwrrVEEzgQkB5ya 🥰🥰🥰,Twitter for Android,2021-09-12T12:34:55.000Z,[],[],0,0,1,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084189
False,1436999797802561536,1348504769715867650,th,everyone,['1436999797802561536'],@XwrrVEEzgQkB5ya 555จะดีเหรอ,Twitter for Android,2021-09-12T10:27:04.000Z,[],[],0,1,2,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084198
False,1435949906133274625,1312342393555881984,zxx,everyone,['1435949906133274625'],https://t.co/6annX1BG4W,Twitter for Android,2021-09-09T12:55:10.000Z,[],['https://twitter.com/FuvMbn2ISrGUBuX/status/1435949906133274625/video/1'],888,22,2041,9,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084207
True,1437120738612297729,2198805384,en,everyone,['1437120738612297729'],What do you guys say about this??? https://t.co/gEGIRTUKAr,Twitter for Android,2021-09-12T18:27:39.000Z,[],['https://twitter.com/vickyar08533512/status/1437120738612297729/video/1'],255,11,882,2,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084216
True,1436536095722786816,1243506665695006720,th,everyone,['1436536095722786816'],ยังแถมอยู่นะครับ https://t.co/7gf5ENmHwG,Twitter for iPhone,2021-09-11T03:44:29.000Z,[],['https://twitter.com/Adam09384065/status/1436536095722786816/photo/1'],68,8,690,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084225
True,1436823546987044865,1109512884642611201,und,everyone,['1436823546987044865'],WA 0145285119 https://t.co/o2llc4itus,Twitter for Android,2021-09-11T22:46:43.000Z,[],"['https://twitter.com/ABAH_MANN/status/1436823546987044865/photo/1', 'https://twitter.com/ABAH_MANN/status/1436823546987044865/photo/1']",277,41,1090,4,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084234
False,1436671587869073411,1348504769715867650,th,everyone,['1436671587869073411'],เอาจริงๆเลยนะเมียผมก็แต่งมานะค่าตัว70000แต่ทำไมสายฟรีชอบทักขอดูหีแบบไม่เป็นเวล้ำเวลาเอาอย่างนี้นะที่บ้านมีแม่ป้าน้าน้องลองขอดูสิจะได้รู้ว่าเป็นยังไง https://t.co/DgnrGnRiqy,Twitter for Android,2021-09-11T12:42:53.000Z,[],['https://twitter.com/D8JntGAcgqkMntc/status/1436671587869073411/photo/1'],63,39,1238,1,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084242
False,1436866917508136960,1103883736548954113,th,everyone,['1436866917508136960'],มาส่องกระจกห้องเราไหม https://t.co/qSbzRrc9ER,Twitter for iPhone,2021-09-12T01:39:03.000Z,[],['https://twitter.com/kimizenontwitt/status/1436866917508136960/photo/1'],48,3,443,1,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084250
True,1436856980547588103,932865869755047942,th,everyone,['1436856980547588103'],คุกเข่าได้ไหม🤭😚😚 https://t.co/xLO9oIfmRV,Twitter for Android,2021-09-12T00:59:34.000Z,[],['https://twitter.com/wee_pas/status/1436856980547588103/photo/1'],55,8,479,1,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084258
False,1436448737698754561,1390395806746923009,zxx,everyone,['1436448737698754561'],https://t.co/NJf0fyKXqY,Twitter for Android,2021-09-10T21:57:21.000Z,[],['https://twitter.com/ELIASAS69933421/status/1436448737698754561/photo/1'],112,36,2885,3,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084267
True,1436358937775951874,969632431362985984,es,everyone,['1436358937775951874'],Bigotón rico 🍆🤤. https://t.co/ca5pKxNkXd,Twitter for Android,2021-09-10T16:00:31.000Z,[],['https://twitter.com/PacoMeloRico4/status/1436358937775951874/photo/1'],21,2,181,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084275
False,1436550319777845248,1103883736548954113,en,everyone,['1436550319777845248'],"Under construction, be right back soon ✌️ https://t.co/ooFyZUv86P",Twitter for iPhone,2021-09-11T04:41:00.000Z,[],['https://twitter.com/kimizenontwitt/status/1436550319777845248/photo/1'],198,32,1781,5,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084284
False,1436448797761150976,1390395806746923009,zxx,everyone,['1436448797761150976'],https://t.co/MUou3VADYX,Twitter for Android,2021-09-10T21:57:35.000Z,[],['https://twitter.com/ELIASAS69933421/status/1436448797761150976/photo/1'],374,181,4137,8,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084292
False,1435758951837077513,1000207529681604608,pt,everyone,['1435758951837077513'],"Daddy vencedor com 33,2% dos votos. https://t.co/IcnMmZNSKM",Twitter Web App,2021-09-09T00:16:23.000Z,[],['https://twitter.com/rude_dilfs/status/1435758951837077513/photo/1'],61,5,642,2,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084300
False,1420855444973752325,1390395806746923009,zxx,everyone,['1420855444973752325'],https://t.co/QBnToGPdlY,Twitter for Android,2021-07-29T21:15:10.000Z,[],['https://twitter.com/ELIASAS69933421/status/1420855444973752325/photo/1'],94,43,1506,4,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084308
False,1420855683977814024,1390395806746923009,zxx,everyone,['1420855683977814024'],https://t.co/1LclfIzNTN,Twitter for Android,2021-07-29T21:16:07.000Z,[],['https://twitter.com/ELIASAS69933421/status/1420855683977814024/photo/1'],69,24,1137,1,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084317
False,1422689263754354688,1390395806746923009,zxx,everyone,['1422689263754354688'],https://t.co/w4a4z7A9QG,Twitter for Android,2021-08-03T22:42:07.000Z,[],"['https://twitter.com/ELIASAS69933421/status/1422689263754354688/photo/1', 'https://twitter.com/ELIASAS69933421/status/1422689263754354688/photo/1', 'https://twitter.com/ELIASAS69933421/status/1422689263754354688/photo/1', 'https://twitter.com/ELIASAS69933421/status/1422689263754354688/photo/1']",34,8,655,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084325
False,1422689473440141316,1390395806746923009,zxx,everyone,['1422689473440141316'],https://t.co/IFZm8ZWYDL,Twitter for Android,2021-08-03T22:42:57.000Z,[],['https://twitter.com/ELIASAS69933421/status/1422689473440141316/photo/1'],30,8,901,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084334
False,1422689719297712131,1390395806746923009,pt,everyone,['1422689719297712131'],Voltando entrar em forma. https://t.co/jw814wFSDh,Twitter for Android,2021-08-03T22:43:56.000Z,[],['https://twitter.com/ELIASAS69933421/status/1422689719297712131/photo/1'],23,9,852,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084342
False,1428473246349938692,1390395806746923009,pt,everyone,['1428473246349938692'],Voltando a forma normal https://t.co/gGcDSbAAZD,Twitter for Android,2021-08-19T21:45:36.000Z,[],['https://twitter.com/ELIASAS69933421/status/1428473246349938692/photo/1'],56,15,1278,2,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-10-27 18:12:43.084351
