possibly_sensitive, text, source, id, created_at, lang, reply_settings, author_id, edit_history_tweet_ids, hashtags_list, urls_list, public_metrics_retweet_count, public_metrics_reply_count, public_metrics_like_count, public_metrics_quote_count, pagination_token, current_time
True,"Đi chơi vùng cao có một bản làng khi sinh là nữ là cha mẹ bôi một loại thuốc gia truyền là ko bao giờ mọc lông mu, cô giáo tâm sự làm như vậy là để giữ gái bản, đấy cũng là bản sắc riêng, thế là mình cũng cạo nhẵn thín cho có đôi. https://t.co/fq5cxAfr81",Twitter for Android,1437133899478421505,2021-09-12T19:19:56.000Z,vi,everyone,1356972371945484293,['1437133899478421505'],[],['https://twitter.com/DngBch11/status/1437133899478421505/video/1'],345,10,853,3,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583278
False,"No es mía.pero está bello.
Rico maduro. https://t.co/kLKPfdi6AT",Twitter for Android,1437274256505651204,2021-09-13T04:37:40.000Z,es,everyone,986307001125867520,['1437274256505651204'],[],['https://twitter.com/Sr_DonMaduro/status/1437274256505651204/photo/1'],59,6,539,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583307
False,@XwrrVEEzgQkB5ya 🥰🥰🥰,Twitter for Android,1437031971062890498,2021-09-12T12:34:55.000Z,und,everyone,932865869755047942,['1437031971062890498'],[],[],0,0,1,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583324
False,@XwrrVEEzgQkB5ya 555จะดีเหรอ,Twitter for Android,1436999797802561536,2021-09-12T10:27:04.000Z,th,everyone,1348504769715867650,['1436999797802561536'],[],[],0,1,2,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583334
False,https://t.co/6annX1BG4W,Twitter for Android,1435949906133274625,2021-09-09T12:55:10.000Z,zxx,everyone,1312342393555881984,['1435949906133274625'],[],['https://twitter.com/FuvMbn2ISrGUBuX/status/1435949906133274625/video/1'],896,22,2066,9,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583344
True,What do you guys say about this??? https://t.co/gEGIRTUKAr,Twitter for Android,1437120738612297729,2021-09-12T18:27:39.000Z,en,everyone,2198805384,['1437120738612297729'],[],['https://twitter.com/vickyar08533512/status/1437120738612297729/video/1'],263,11,904,2,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583355
True,ยังแถมอยู่นะครับ https://t.co/7gf5ENmHwG,Twitter for iPhone,1436536095722786816,2021-09-11T03:44:29.000Z,th,everyone,1243506665695006720,['1436536095722786816'],[],['https://twitter.com/Adam09384065/status/1436536095722786816/photo/1'],68,8,693,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583370
True,WA 0145285119 https://t.co/o2llc4itus,Twitter for Android,1436823546987044865,2021-09-11T22:46:43.000Z,und,everyone,1109512884642611201,['1436823546987044865'],[],"['https://twitter.com/ABAH_MANN/status/1436823546987044865/photo/1', 'https://twitter.com/ABAH_MANN/status/1436823546987044865/photo/1']",287,41,1117,4,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583383
False,เอาจริงๆเลยนะเมียผมก็แต่งมานะค่าตัว70000แต่ทำไมสายฟรีชอบทักขอดูหีแบบไม่เป็นเวล้ำเวลาเอาอย่างนี้นะที่บ้านมีแม่ป้าน้าน้องลองขอดูสิจะได้รู้ว่าเป็นยังไง https://t.co/DgnrGnRiqy,Twitter for Android,1436671587869073411,2021-09-11T12:42:53.000Z,th,everyone,1348504769715867650,['1436671587869073411'],[],['https://twitter.com/D8JntGAcgqkMntc/status/1436671587869073411/photo/1'],68,41,1307,1,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583392
False,มาส่องกระจกห้องเราไหม https://t.co/qSbzRrc9ER,Twitter for iPhone,1436866917508136960,2021-09-12T01:39:03.000Z,th,everyone,1103883736548954113,['1436866917508136960'],[],['https://twitter.com/kimizenontwitt/status/1436866917508136960/photo/1'],46,3,442,1,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583401
True,คุกเข่าได้ไหม🤭😚😚 https://t.co/xLO9oIfmRV,Twitter for Android,1436856980547588103,2021-09-12T00:59:34.000Z,th,everyone,932865869755047942,['1436856980547588103'],[],['https://twitter.com/wee_pas/status/1436856980547588103/photo/1'],55,8,479,1,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583410
False,https://t.co/NJf0fyKXqY,Twitter for Android,1436448737698754561,2021-09-10T21:57:21.000Z,zxx,everyone,1390395806746923009,['1436448737698754561'],[],['https://twitter.com/ELIASAS69933421/status/1436448737698754561/photo/1'],111,36,2876,3,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583419
True,Bigotón rico 🍆🤤. https://t.co/ca5pKxNkXd,Twitter for Android,1436358937775951874,2021-09-10T16:00:31.000Z,es,everyone,969632431362985984,['1436358937775951874'],[],['https://twitter.com/PacoMeloRico4/status/1436358937775951874/photo/1'],21,2,180,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583428
False,"Under construction, be right back soon ✌️ https://t.co/ooFyZUv86P",Twitter for iPhone,1436550319777845248,2021-09-11T04:41:00.000Z,en,everyone,1103883736548954113,['1436550319777845248'],[],['https://twitter.com/kimizenontwitt/status/1436550319777845248/photo/1'],199,31,1778,5,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583437
False,https://t.co/MUou3VADYX,Twitter for Android,1436448797761150976,2021-09-10T21:57:35.000Z,zxx,everyone,1390395806746923009,['1436448797761150976'],[],['https://twitter.com/ELIASAS69933421/status/1436448797761150976/photo/1'],376,181,4151,8,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583446
False,"Daddy vencedor com 33,2% dos votos. https://t.co/IcnMmZNSKM",Twitter Web App,1435758951837077513,2021-09-09T00:16:23.000Z,pt,everyone,1000207529681604608,['1435758951837077513'],[],['https://twitter.com/rude_dilfs/status/1435758951837077513/photo/1'],60,4,637,2,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583454
False,https://t.co/QBnToGPdlY,Twitter for Android,1420855444973752325,2021-07-29T21:15:10.000Z,zxx,everyone,1390395806746923009,['1420855444973752325'],[],['https://twitter.com/ELIASAS69933421/status/1420855444973752325/photo/1'],96,45,1513,4,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583463
False,https://t.co/1LclfIzNTN,Twitter for Android,1420855683977814024,2021-07-29T21:16:07.000Z,zxx,everyone,1390395806746923009,['1420855683977814024'],[],['https://twitter.com/ELIASAS69933421/status/1420855683977814024/photo/1'],71,24,1138,1,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583471
False,https://t.co/w4a4z7A9QG,Twitter for Android,1422689263754354688,2021-08-03T22:42:07.000Z,zxx,everyone,1390395806746923009,['1422689263754354688'],[],"['https://twitter.com/ELIASAS69933421/status/1422689263754354688/photo/1', 'https://twitter.com/ELIASAS69933421/status/1422689263754354688/photo/1', 'https://twitter.com/ELIASAS69933421/status/1422689263754354688/photo/1', 'https://twitter.com/ELIASAS69933421/status/1422689263754354688/photo/1']",33,8,653,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583480
False,https://t.co/IFZm8ZWYDL,Twitter for Android,1422689473440141316,2021-08-03T22:42:57.000Z,zxx,everyone,1390395806746923009,['1422689473440141316'],[],['https://twitter.com/ELIASAS69933421/status/1422689473440141316/photo/1'],32,8,899,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583489
False,Voltando entrar em forma. https://t.co/jw814wFSDh,Twitter for Android,1422689719297712131,2021-08-03T22:43:56.000Z,pt,everyone,1390395806746923009,['1422689719297712131'],[],['https://twitter.com/ELIASAS69933421/status/1422689719297712131/photo/1'],24,9,852,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583499
False,Voltando a forma normal https://t.co/gGcDSbAAZD,Twitter for Android,1428473246349938692,2021-08-19T21:45:36.000Z,pt,everyone,1390395806746923009,['1428473246349938692'],[],['https://twitter.com/ELIASAS69933421/status/1428473246349938692/photo/1'],56,15,1279,2,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583513
False,https://t.co/2hDZWlKBrz,Twitter for Android,1429923822736642054,2021-08-23T21:49:40.000Z,zxx,everyone,1390395806746923009,['1429923822736642054'],[],['https://twitter.com/ELIASAS69933421/status/1429923822736642054/photo/1'],218,82,3143,8,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583525
False,https://t.co/qex4rh0bea,Twitter for Android,1431055617607839746,2021-08-27T00:47:01.000Z,zxx,everyone,1390395806746923009,['1431055617607839746'],[],['https://twitter.com/ELIASAS69933421/status/1431055617607839746/photo/1'],42,12,1298,1,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583538
False,https://t.co/c0izEGinAS,Twitter for Android,1431055909753692160,2021-08-27T00:48:11.000Z,zxx,everyone,1390395806746923009,['1431055909753692160'],[],['https://twitter.com/ELIASAS69933421/status/1431055909753692160/photo/1'],43,10,1210,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583553
False,https://t.co/yEClALMsYt,Twitter for Android,1431056286389506048,2021-08-27T00:49:41.000Z,zxx,everyone,1390395806746923009,['1431056286389506048'],[],['https://twitter.com/ELIASAS69933421/status/1431056286389506048/photo/1'],50,17,1387,0,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583566
False,https://t.co/sGfUe34Ssv,Twitter for Android,1431056346502385664,2021-08-27T00:49:55.000Z,zxx,everyone,1390395806746923009,['1431056346502385664'],[],['https://twitter.com/ELIASAS69933421/status/1431056346502385664/photo/1'],73,32,1943,3,7140dibdnow9c7btw4803qh0y60v44vlfxy97j0k2addk,2022-11-22 23:49:33.583579
