possibly_sensitive,text,source,id,created_at,lang,reply_settings,author_id,edit_history_tweet_ids,hashtags_list,urls_list,public_metrics_retweet_count,public_metrics_reply_count,public_metrics_like_count,public_metrics_quote_count,pagination_token,current_time
False,"RT @khkim2744: 더불어민주당은 11.11(금) 서울중앙지검 강백신 반부패수사제3부 부장검사, 엄희준 반부패수사제1부 부장검사를 피의사실 공표죄로 고위공직자범죄수사처에 고발할 예정입니다.",Twitter for iPhone,1590879512983928833,2022-11-11T01:30:07.000Z,ko,everyone,1101797736662294528,['1590879512983928833'],[],[],3,0,0,0,,2022-11-10 17:30:13.529002
False,RT @GinaWel70883124: Greens Farms Academy LOCKS DOWN Twitter Account Following Project Veritas Investigation Exposing School Director Iman…,Twitter for iPhone,1590879512971333635,2022-11-11T01:30:07.000Z,en,everyone,111349686,['1590879512971333635'],[],[],4,0,0,0,,2022-11-10 17:30:13.531191
False,RT @Nancy_Crouse: Pee Pee conveniently ignores the fact that most provinces are led by Conservative premiers.,Twitter for iPad,1590879517161185280,2022-11-11T01:30:08.000Z,en,everyone,1320523698,['1590879517161185280'],[],[],19,0,0,0,,2022-11-10 17:30:14.179022
False,RT @bdllhmm19553261: kesatlaşmakıyortular destanlaşmağın cari paratan bezelemeye  #sakarya  dosttum fettanlıkıyor dizyemtim denetlemeğin  #…,Twitter for iPad,1590879517169557509,2022-11-11T01:30:08.000Z,tr,everyone,1588576464164851718,['1590879517169557509'],['sakarya'],[],34,0,0,0,,2022-11-10 17:30:14.179592
False,"RT @NainRamniwash: hiç tanımıyorum, diyebilirim. Bu işle Canım, diyorum, karaciğer iltihabı onu nasılsa uzun #kapaklı #çerkezköy süre yaşat…",Twitter Web App,1590879512992313345,2022-11-11T01:30:07.000Z,tr,everyone,1588065793283166208,['1590879512992313345'],"['kapaklı', 'çerkezköy']",[],39,0,0,0,,2022-11-10 17:30:14.211341
False,"RT @NainRamniwash: hiç tanımıyorum, diyebilirim. Bu işle Canım, diyorum, karaciğer iltihabı onu nasılsa uzun #kapaklı #çerkezköy süre yaşat…",Twitter Web App,1590879512988090368,2022-11-11T01:30:07.000Z,tr,everyone,1588069801708195842,['1590879512988090368'],"['kapaklı', 'çerkezköy']",[],39,0,0,0,,2022-11-10 17:30:14.213163
False,🤤🤤🤤 https://t.co/Ni1V16NpW7,Twitter for Android,1590879517157232640,2022-11-11T01:30:08.000Z,und,everyone,1559776763571363840,['1590879517157232640'],[],['https://twitter.com/sapnafuckof4/status/1590879517157232640/photo/1'],0,0,0,0,,2022-11-10 17:30:14.219431
False,"RT @WallStreetSilv: Layoffs are popping up all over the place now 🚨

But don’t worry .. not a recession. https://t.co/Tg9o2dmNrP",Twitter for Android,1590879517153034240,2022-11-11T01:30:08.000Z,en,everyone,1576460160880476161,['1590879517153034240'],[],['https://twitter.com/WallStreetSilv/status/1590863923204325376/photo/1'],99,0,0,0,,2022-11-10 17:30:14.219969
False,"RT @nuchB2Peck: เมื่อวานนุชเปื่อย​ เลยไม่ได้ช่วยเทรนช่วยหวีด​ วันนี้อาการดีขึ้นแล้ว​ ขอแก้ตัวหวีดดีเลย์ ได้แหล่ะเน๊อะ😂😚✌️✌️
@peckpalit 
#My…",Twitter for Android,1590879517182398464,2022-11-11T01:30:08.000Z,th,everyone,1073497267825389568,['1590879517182398464'],[],[],21,0,0,0,,2022-11-10 17:30:14.220314
False,"@20Rd4 村人ちゃん、おはよう😊🌞

金取られるくらいならInstagramに移行だね😭

でも、動物達との思い出やフォロワー様と繋がりが無くなるのは悲しいね😭",Twitter for Android,1590879517161435136,2022-11-11T01:30:08.000Z,ja,everyone,2545389296,['1590879517161435136'],[],[],0,0,0,0,,2022-11-10 17:30:14.273018
False,#NouvellePhotoDeProfil https://t.co/d0Efmm1rLJ,Twitter for Android,1590879517153058816,2022-11-11T01:30:08.000Z,qme,everyone,1590593787235123202,['1590879517153058816'],['NouvellePhotoDeProfil'],['https://twitter.com/AhmadBnali18/status/1590879517153058816/photo/1'],0,0,0,0,,2022-11-10 17:30:14.273763
False,"RT @sweetielin3: 💚 Lucoa san 💚

Poco a poco iré subiendo todos los videitos de mi otra cuenta🔥

Adquiere mi sesión super hot de Lukoa aquí:…",Twitter for Android,1590879517165649920,2022-11-11T01:30:08.000Z,es,everyone,1197180877740085248,['1590879517165649920'],[],[],1257,0,0,0,,2022-11-10 17:30:14.274599
False,RT @Net_Genial: https://t.co/NMOwV4L8JC,Twitter Web App,1590879517153067009,2022-11-11T01:30:08.000Z,zxx,everyone,390396249,['1590879517153067009'],[],['https://twitter.com/Net_Genial/status/1590658770795130880/photo/1'],4589,0,0,0,,2022-11-10 17:30:14.275273
False,RT @INCIndia: आज नांदेड़ में विशाल जनसभा को संबोधित करने से पहले कांग्रेस अध्यक्ष श्री @kharge एवं श्री @RahulGandhi ने महापुरुषों की प्रति…,Twitter for Android,1590879517178204161,2022-11-11T01:30:08.000Z,hi,everyone,1589879972361273345,['1590879517178204161'],[],[],216,0,0,0,,2022-11-10 17:30:14.275686
