possibly_sensitive,text,source,id,created_at,lang,reply_settings,author_id,edit_history_tweet_ids,hashtags_list,urls_list,public_metrics_retweet_count,public_metrics_reply_count,public_metrics_like_count,public_metrics_quote_count,next_token
False,"RT @Councillorsuzie: Love this video, everyone in combat gear except our #Boris, an easy target for someone wanting to eliminate him. This…",Twitter for Android,1513249273651081220,2022-04-10T20:15:16.000Z,en,everyone,914779140225675265,['1513249273651081220'],['Boris'],[],6,0,0,0,
False,"RT @David_J_Bond: #BackingBoris

@BorisJohnson is a leader and a WINNER!👌☑️☑️☑️

@Keir_Starmer is a follower and a LOSER. 👎❌❌❌ https://t.co…",Twitter for Android,1512515063432765448,2022-04-08T19:37:46.000Z,en,everyone,914779140225675265,['1512515063432765448'],['BackingBoris'],[],21,0,0,0,
False,"RT @bobstackle: "" Parts of our history are being replaced by people who have not contributed to our history"". It has to stop. @GBNEWS",Twitter for Android,1512514809237020678,2022-04-08T19:36:46.000Z,en,everyone,914779140225675265,['1512514809237020678'],[],[],209,0,0,0,
False,RT @kankansama_: มิสต้าสร้างตึกระฟ้าตามคลิปคุณคนนี้ ละแบบไอ่เหี้ยเจ้าของคลิปเขาเข้ามาดูสตรีม5355353535 ละมิสต้าบ่นเขาไปอย่างเยอะ ตลกมาก5555…,Twitter for Android,1575893169161768962,2022-09-30T16:59:44.000Z,th,everyone,969598808186212353,['1575893169161768962'],[],[],1634,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @flufyr: สังคมมหาลัยคนเก่งเยอะมากกกกกก เก่งแบบมีออร่าแผ่ออกมาตลอดว่าเชี่ย คนนี้แม่งเก่งว่ะ แล้วบางคนเหมือนป้อนอะไรเข้าสมองก็เอามาหยิบจับ…,Twitter for Android,1575893123037036550,2022-09-30T16:59:33.000Z,th,everyone,969598808186212353,['1575893123037036550'],[],[],87411,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @cnew888: ฮัลโหล ช่วยมาคุมพฤติกรรมอีศาลดานนี่หน่อย หลายรอบละ,Twitter for Android,1575893113629208576,2022-09-30T16:59:31.000Z,th,everyone,969598808186212353,['1575893113629208576'],[],[],71479,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @samipangsri: กลิ่นขี้ กลิ่นฉี่คนและสัตว์ กลิ่นอับห้องหายเกลี้ยง พอใช้อิเครื่องดับกลิ่นอัตโนมัติอันนี้ คือมันเป็นทั้งที่ด้บกลิ่นและเครื่…,Twitter for Android,1575893031479554048,2022-09-30T16:59:12.000Z,th,following,969598808186212353,['1575893031479554048'],[],[],3067,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @_pjm168xx_: หน้าเหมือนกันเลยอะ555555555 https://t.co/oWgEV5vpSs,Twitter for Android,1575892938923466752,2022-09-30T16:58:49.000Z,th,everyone,969598808186212353,['1575892938923466752'],[],"['https://twitter.com/_pjm168xx_/status/1575840212822786049/photo/1', 'https://twitter.com/_pjm168xx_/status/1575840212822786049/photo/1']",1818,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @__yttap__: เปิดเรื่องมาดีอ่ะ นางเอกเป็นลูกหลานแชโบลเกาหลี ฝันเห็นตัวเองตายมาตลอด จนนางได้เจอแม่หมอไพ่ทาโร่คนนึงที่เหมือนจะไม่ธรรมดา และ…,Twitter for Android,1575892914760486912,2022-09-30T16:58:44.000Z,th,everyone,969598808186212353,['1575892914760486912'],[],[],18663,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @jxmoods: : เธอยังฟังเพลงแล้วนึกถึงเราไหม,Twitter for Android,1575892889393299456,2022-09-30T16:58:38.000Z,th,everyone,969598808186212353,['1575892889393299456'],[],[],4673,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
False,RT @forfang31: ด่าผู้ชายเหี้ยให้พ่อฟังทุกวัน พ่อก็ไม่เคยคิดว่าด่าพ่อเลยอ่าจารรร 🥺,Twitter for Android,1575892817163202560,2022-09-30T16:58:20.000Z,th,everyone,969598808186212353,['1575892817163202560'],[],[],1447,0,0,0,b26v89c19zqg8o3fpzbjnyt3yhwpvmb604y1fbxc6w6t9
